brand,actualshipdate,total cbm,is_holiday,holiday_distance,days_since_last_holiday,days_to_next_holiday,month_sin,month_cos,dayofmonth_sin,dayofmonth_cos,dow_sin,dow_cos,is_monday,is_sunday
AFC,2023-01-01,-3.141901231912905,1,0,0,0,0.0,1.0,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-01-02,0.1732514482695765,0,-1,1,17,0.0,1.0,0.20129852008866006,0.9795299412524945,0.0,1.0,1,0
AFC,2023-01-03,-0.031188335631544464,0,-2,2,16,0.0,1.0,0.39435585511331855,0.9189578116202306,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-01-04,-0.04422592288925844,0,-3,3,15,0.0,1.0,0.5712682150947923,0.8207634412072763,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-01-05,0.09135566565516423,0,-4,4,14,0.0,1.0,0.72479278722912,0.6889669190756866,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-01-06,-0.12085873256914702,0,-5,5,13,0.0,1.0,0.8486442574947509,0.5289640103269624,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-01-07,0.07704857328048827,0,-6,6,12,0.0,1.0,0.9377521321470804,0.3473052528448203,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-01-08,-3.141901231912905,0,-7,7,11,0.0,1.0,0.9884683243281114,0.1514277775045767,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-01-09,0.024967477252718036,0,-8,8,10,0.0,1.0,0.9987165071710528,-0.05064916883871264,0.0,1.0,1,0
AFC,2023-01-10,-0.14927309300370536,0,-9,9,9,0.0,1.0,0.9680771188662043,-0.2506525322587204,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-01-11,0.15397010767860142,0,8,10,8,0.0,1.0,0.8978045395707416,-0.4403941515576344,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-01-12,0.45190124544549315,0,7,11,7,0.0,1.0,0.7907757369376989,-0.6121059825476626,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-01-13,0.20175189103124946,0,6,12,6,0.0,1.0,0.6513724827222223,-0.758758122692791,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-01-14,0.39953581618366996,0,5,13,5,0.0,1.0,0.48530196253108104,-0.8743466161445821,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-01-15,-3.141901231912905,0,4,14,4,0.0,1.0,0.29936312297335804,-0.9541392564000488,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-01-16,0.2094475789821633,0,3,15,3,0.0,1.0,0.10116832198743272,-0.994869323391895,0.0,1.0,1,0
AFC,2023-01-17,0.13807765130212252,0,2,16,2,0.0,1.0,-0.10116832198743204,-0.9948693233918952,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-01-18,0.30352844725788,0,1,17,1,0.0,1.0,-0.2993631229733582,-0.9541392564000488,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-01-19,-3.141901231912905,1,0,18,0,0.0,1.0,-0.4853019625310808,-0.8743466161445822,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-01-20,-3.141901231912905,1,0,1,0,0.0,1.0,-0.651372482722222,-0.7587581226927911,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-01-21,-3.141901231912905,1,0,1,0,0.0,1.0,-0.7907757369376986,-0.6121059825476627,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-01-22,-3.141901231912905,1,0,1,0,0.0,1.0,-0.8978045395707417,-0.44039415155763423,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-01-23,-3.141901231912905,1,0,1,0,0.0,1.0,-0.9680771188662041,-0.2506525322587213,0.0,1.0,1,0
AFC,2023-01-24,-3.141901231912905,1,0,1,0,0.0,1.0,-0.9987165071710528,-0.05064916883871355,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-01-25,-3.141901231912905,0,-1,1,28,0.0,1.0,-0.9884683243281114,0.15142777750457667,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-01-26,-3.141901231912905,0,-2,2,28,0.0,1.0,-0.9377521321470804,0.3473052528448203,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-01-27,-0.346624635337248,0,-3,3,28,0.0,1.0,-0.8486442574947509,0.5289640103269624,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-01-28,-0.21291335462026642,0,-4,4,28,0.0,1.0,-0.72479278722912,0.6889669190756865,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-01-29,-2.924940196044706,0,-5,5,28,0.0,1.0,-0.5712682150947924,0.8207634412072763,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-01-30,-0.1626097415004868,0,-6,6,28,0.0,1.0,-0.3943558551133187,0.9189578116202306,0.0,1.0,1,0
AFC,2023-01-31,0.10834722584848759,0,-7,7,28,0.0,1.0,-0.20129852008866114,0.9795299412524943,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-02-01,0.037207190749720655,0,-8,8,28,0.49999999999999994,0.8660254037844387,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-02-02,-0.5525897206173034,0,-9,9,28,0.49999999999999994,0.8660254037844387,0.2225209339563144,0.9749279121818236,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-02-03,-0.4983708107280331,0,-10,10,28,0.49999999999999994,0.8660254037844387,0.4338837391175581,0.9009688679024191,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-02-04,-0.16629360647204353,0,-11,11,28,0.49999999999999994,0.8660254037844387,0.6234898018587335,0.7818314824680298,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-02-05,-2.445953819131693,0,-12,12,28,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-02-06,-0.2131615030406505,0,-13,13,28,0.49999999999999994,0.8660254037844387,0.9009688679024191,0.4338837391175582,0.0,1.0,1,0
AFC,2023-02-07,-0.2555708904593318,0,-14,14,28,0.49999999999999994,0.8660254037844387,0.9749279121818236,0.22252093395631445,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-02-08,-0.5605643449664202,0,-15,15,28,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-02-09,-0.1752281345084967,0,-16,16,27,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-02-10,-0.13082425185950164,0,-17,17,26,0.49999999999999994,0.8660254037844387,0.9009688679024191,-0.43388373911755806,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-02-11,-0.0009063852695276198,0,-18,18,25,0.49999999999999994,0.8660254037844387,0.7818314824680299,-0.6234898018587335,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-02-12,-3.141901231912905,0,-19,19,24,0.49999999999999994,0.8660254037844387,0.6234898018587339,-0.7818314824680295,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-02-13,-0.46378285027667737,0,-20,20,23,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0,1,0
AFC,2023-02-14,-0.3536091947755246,0,-21,21,22,0.49999999999999994,0.8660254037844387,0.2225209339563141,-0.9749279121818237,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-02-15,0.37397172030514103,0,21,22,21,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-02-16,0.4734437455503218,0,20,23,20,0.49999999999999994,0.8660254037844387,-0.22252093395631384,-0.9749279121818237,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-02-17,-0.5426653872819577,0,19,24,19,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-02-18,-0.41934128170171536,0,18,25,18,0.49999999999999994,0.8660254037844387,-0.6234898018587338,-0.7818314824680296,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-02-19,-3.141901231912905,0,17,26,17,0.49999999999999994,0.8660254037844387,-0.7818314824680297,-0.6234898018587337,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-02-20,-0.2865413882070162,0,16,27,16,0.49999999999999994,0.8660254037844387,-0.900968867902419,-0.4338837391175583,0.0,1.0,1,0
AFC,2023-02-21,-0.7407825646588314,0,15,28,15,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-02-22,-0.2971671830049879,0,14,28,14,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-02-23,-0.027977023030027203,0,13,28,13,0.49999999999999994,0.8660254037844387,-0.9749279121818238,0.22252093395631334,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-02-24,-0.050850482480098304,0,12,28,12,0.49999999999999994,0.8660254037844387,-0.9009688679024193,0.43388373911755795,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-02-25,0.14598344135936772,0,11,28,11,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-02-26,-3.141901231912905,0,10,28,10,0.49999999999999994,0.8660254037844387,-0.6234898018587337,0.7818314824680297,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-02-27,-0.15869055328573484,0,9,28,9,0.49999999999999994,0.8660254037844387,-0.4338837391175575,0.9009688679024194,0.0,1.0,1,0
AFC,2023-02-28,-0.11859267452700196,0,8,28,8,0.49999999999999994,0.8660254037844387,-0.22252093395631464,0.9749279121818235,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-03-01,-0.024525195785812068,0,7,28,7,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-03-02,-0.332553040078246,0,6,28,6,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-03-03,-0.07767493355159108,0,5,28,5,0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-03-04,-0.6657026415631393,0,4,28,4,0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-03-05,-3.141901231912905,0,3,28,3,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-03-06,-0.8433026357405957,0,2,28,2,0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624,0.0,1.0,1,0
AFC,2023-03-07,0.03498002441571744,0,1,28,1,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-03-08,-0.14846009285866846,1,0,28,0,0.8660254037844386,0.5000000000000001,0.9884683243281114,0.1514277775045767,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-03-09,0.2636222086008938,0,-1,1,28,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.05064916883871264,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-03-10,0.30875434068915275,0,-2,2,28,0.8660254037844386,0.5000000000000001,0.9680771188662043,-0.2506525322587204,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-03-11,-0.22483583801100185,0,-3,3,28,0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-03-12,-3.141901231912905,0,-4,4,28,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-03-13,-0.2804256673593514,0,-5,5,28,0.8660254037844386,0.5000000000000001,0.6513724827222223,-0.758758122692791,0.0,1.0,1,0
AFC,2023-03-14,-0.5636021154459689,0,-6,6,28,0.8660254037844386,0.5000000000000001,0.48530196253108104,-0.8743466161445821,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-03-15,-0.2623780505042438,0,-7,7,28,0.8660254037844386,0.5000000000000001,0.29936312297335804,-0.9541392564000488,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-03-16,-0.10062649192203735,0,-8,8,28,0.8660254037844386,0.5000000000000001,0.10116832198743272,-0.994869323391895,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-03-17,-0.027683350743357604,0,-9,9,28,0.8660254037844386,0.5000000000000001,-0.10116832198743204,-0.9948693233918952,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-03-18,-0.5270783098986621,0,-10,10,28,0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-03-19,-3.141901231912905,0,-11,11,28,0.8660254037844386,0.5000000000000001,-0.4853019625310808,-0.8743466161445822,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-03-20,-1.1770315505286661,0,-12,12,28,0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,0.0,1.0,1,0
AFC,2023-03-21,-0.5925149813910195,0,-13,13,28,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-03-22,-0.05189380347207535,0,-14,14,28,0.8660254037844386,0.5000000000000001,-0.8978045395707417,-0.44039415155763423,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-03-23,-0.08618617165795084,0,-15,15,28,0.8660254037844386,0.5000000000000001,-0.9680771188662041,-0.2506525322587213,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-03-24,-0.18138641501160807,0,-16,16,28,0.8660254037844386,0.5000000000000001,-0.9987165071710528,-0.05064916883871355,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-03-25,-0.36005913651707544,0,-17,17,28,0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.15142777750457667,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-03-26,-3.141901231912905,0,-18,18,28,0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-03-27,-0.3898094755851413,0,-19,19,28,0.8660254037844386,0.5000000000000001,-0.8486442574947509,0.5289640103269624,0.0,1.0,1,0
AFC,2023-03-28,-0.6731470007121821,0,-20,20,28,0.8660254037844386,0.5000000000000001,-0.72479278722912,0.6889669190756865,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-03-29,0.09873297102328832,0,-21,21,28,0.8660254037844386,0.5000000000000001,-0.5712682150947924,0.8207634412072763,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-03-30,-0.02657991301890901,0,-22,22,28,0.8660254037844386,0.5000000000000001,-0.3943558551133187,0.9189578116202306,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-03-31,0.15899195932216922,0,-23,23,28,0.8660254037844386,0.5000000000000001,-0.20129852008866114,0.9795299412524943,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-04-01,-0.17963886129136034,0,-24,24,28,1.0,6.123233995736766e-17,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-04-02,-3.141901231912905,0,-25,25,28,1.0,6.123233995736766e-17,0.20791169081775931,0.9781476007338057,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-04-03,-0.9616982781770101,0,-26,26,27,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426009,0.0,1.0,1,0
AFC,2023-04-04,-0.7095726044642724,0,26,27,26,1.0,6.123233995736766e-17,0.5877852522924731,0.8090169943749475,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-04-05,-0.2779547170584051,0,25,28,25,1.0,6.123233995736766e-17,0.7431448254773941,0.6691306063588582,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-04-06,0.06854712002380334,0,24,28,24,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-04-07,-0.05468951990861093,0,23,28,23,1.0,6.123233995736766e-17,0.9510565162951535,0.30901699437494745,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-04-08,0.04062637044591513,0,22,28,22,1.0,6.123233995736766e-17,0.9945218953682733,0.10452846326765346,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-04-09,-3.141901231912905,0,21,28,21,1.0,6.123233995736766e-17,0.9945218953682734,-0.10452846326765333,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-04-10,0.0930004945824364,0,20,28,20,1.0,6.123233995736766e-17,0.9510565162951536,-0.30901699437494734,0.0,1.0,1,0
AFC,2023-04-11,-0.2989363922483255,0,19,28,19,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-04-12,-0.03378200100972601,0,18,28,18,1.0,6.123233995736766e-17,0.7431448254773945,-0.6691306063588579,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-04-13,-0.28011368762417715,0,17,28,17,1.0,6.123233995736766e-17,0.5877852522924732,-0.8090169943749473,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-04-14,-0.4840010887650698,0,16,28,16,1.0,6.123233995736766e-17,0.40673664307580004,-0.913545457642601,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-04-15,-0.356432118646451,0,15,28,15,1.0,6.123233995736766e-17,0.20791169081775931,-0.9781476007338057,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-04-16,-3.141901231912905,0,14,28,14,1.0,6.123233995736766e-17,5.66553889764798e-16,-1.0,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-04-17,-0.5511983328853388,0,13,28,13,1.0,6.123233995736766e-17,-0.20791169081775907,-0.9781476007338057,0.0,1.0,1,0
AFC,2023-04-18,-0.4153547750340645,0,12,28,12,1.0,6.123233995736766e-17,-0.4067366430758002,-0.9135454576426009,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-04-19,0.08293981740507118,0,11,28,11,1.0,6.123233995736766e-17,-0.587785252292473,-0.8090169943749475,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-04-20,-0.561726883811281,0,10,28,10,1.0,6.123233995736766e-17,-0.743144825477394,-0.6691306063588585,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-04-21,0.1042797866411087,0,9,28,9,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-04-22,-0.45073766627924244,0,8,28,8,1.0,6.123233995736766e-17,-0.9510565162951535,-0.30901699437494756,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-04-23,-3.141901231912905,0,7,28,7,1.0,6.123233995736766e-17,-0.9945218953682733,-0.10452846326765423,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-04-24,0.49718467816424067,0,6,28,6,1.0,6.123233995736766e-17,-0.9945218953682734,0.10452846326765299,0.0,1.0,1,0
AFC,2023-04-25,0.25586690336528956,0,5,28,5,1.0,6.123233995736766e-17,-0.9510565162951536,0.30901699437494723,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-04-26,0.7226303882895025,0,4,28,4,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-04-27,0.8296323720519451,0,3,28,3,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-04-28,1.0520710544083256,0,2,28,2,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-04-29,0.10341210740373054,0,1,28,1,1.0,6.123233995736766e-17,-0.40673664307580015,0.913545457642601,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-04-30,-3.141901231912905,1,0,28,0,1.0,6.123233995736766e-17,-0.20791169081775898,0.9781476007338057,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-05-01,-3.141901231912905,1,0,1,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,1.0,1,0
AFC,2023-05-02,-3.141901231912905,0,-1,1,28,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-05-03,0.24935592588976074,0,-2,2,28,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-05-04,-0.01107660833722957,0,-3,3,28,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-05-05,0.8118029614891483,0,-4,4,28,0.8660254037844387,-0.4999999999999998,0.72479278722912,0.6889669190756866,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-05-06,-0.3523702649123644,0,-5,5,28,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-05-07,-3.141901231912905,0,-6,6,28,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-05-08,0.11218191442592283,0,-7,7,28,0.8660254037844387,-0.4999999999999998,0.9884683243281114,0.1514277775045767,0.0,1.0,1,0
AFC,2023-05-09,0.463167425059724,0,-8,8,28,0.8660254037844387,-0.4999999999999998,0.9987165071710528,-0.05064916883871264,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-05-10,0.11409624924146662,0,-9,9,28,0.8660254037844387,-0.4999999999999998,0.9680771188662043,-0.2506525322587204,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-05-11,0.41070244477421686,0,-10,10,28,0.8660254037844387,-0.4999999999999998,0.8978045395707416,-0.4403941515576344,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-05-12,0.48136843177849015,0,-11,11,28,0.8660254037844387,-0.4999999999999998,0.7907757369376989,-0.6121059825476626,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-05-13,0.3380330692716468,0,-12,12,28,0.8660254037844387,-0.4999999999999998,0.6513724827222223,-0.758758122692791,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-05-14,-3.141901231912905,0,-13,13,28,0.8660254037844387,-0.4999999999999998,0.48530196253108104,-0.8743466161445821,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-05-15,0.8515673891176105,0,-14,14,28,0.8660254037844387,-0.4999999999999998,0.29936312297335804,-0.9541392564000488,0.0,1.0,1,0
AFC,2023-05-16,0.30142012015836245,0,-15,15,28,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-05-17,0.20461559902928275,0,-16,16,28,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-05-18,0.6021035854943119,0,-17,17,28,0.8660254037844387,-0.4999999999999998,-0.2993631229733582,-0.9541392564000488,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-05-19,0.5788938256343634,0,-18,18,28,0.8660254037844387,-0.4999999999999998,-0.4853019625310808,-0.8743466161445822,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-05-20,0.24946667006116102,0,-19,19,28,0.8660254037844387,-0.4999999999999998,-0.651372482722222,-0.7587581226927911,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-05-21,-3.141901231912905,0,-20,20,28,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-05-22,0.1566262619689106,0,-21,21,28,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.44039415155763423,0.0,1.0,1,0
AFC,2023-05-23,0.5984992287011807,0,-22,22,28,0.8660254037844387,-0.4999999999999998,-0.9680771188662041,-0.2506525322587213,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-05-24,0.6552404052913469,0,-23,23,28,0.8660254037844387,-0.4999999999999998,-0.9987165071710528,-0.05064916883871355,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-05-25,0.2579895849295719,0,-24,24,28,0.8660254037844387,-0.4999999999999998,-0.9884683243281114,0.15142777750457667,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-05-26,0.5384685469265198,0,-25,25,28,0.8660254037844387,-0.4999999999999998,-0.9377521321470804,0.3473052528448203,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-05-27,0.7975052912287518,0,-26,26,28,0.8660254037844387,-0.4999999999999998,-0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-05-28,-1.8093224220958493,0,-27,27,28,0.8660254037844387,-0.4999999999999998,-0.72479278722912,0.6889669190756865,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-05-29,1.010216098192515,0,-28,28,28,0.8660254037844387,-0.4999999999999998,-0.5712682150947924,0.8207634412072763,0.0,1.0,1,0
AFC,2023-05-30,0.9234138788521998,0,-28,28,28,0.8660254037844387,-0.4999999999999998,-0.3943558551133187,0.9189578116202306,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-05-31,1.2779270730493704,0,-28,28,28,0.8660254037844387,-0.4999999999999998,-0.20129852008866114,0.9795299412524943,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-06-01,1.37771765718387,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-06-02,0.19495786057277872,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.20791169081775931,0.9781476007338057,-0.433883739117558,-0.9009688679024191,0,0
AFC,2023-06-03,-0.4238844822533937,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.40673664307580015,0.9135454576426009,-0.9749279121818236,-0.2225209339563146,0,0
AFC,2023-06-04,-3.141901231912905,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.5877852522924731,0.8090169943749475,-0.7818314824680299,0.6234898018587334,0,1
AFC,2023-06-05,-0.2861687591756703,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.7431448254773941,0.6691306063588582,0.0,1.0,1,0
AFC,2023-06-06,0.5035882340563854,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0
AFC,2023-06-07,0.29428275421565797,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.9510565162951535,0.30901699437494745,0.9749279121818236,-0.22252093395631434,0,0
AFC,2023-06-08,0.6412039980291296,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.9945218953682733,0.10452846326765346,0.43388373911755823,-0.900968867902419,0,0
AFC,2023-06-09,0.5097113330473938,0,-28,28,28,0.49999999999999994,-0.8660254037844387,0.9945218953682734,-0.10452846326765333,-0.433883739117558,-0.9009688679024191,0,0
